sampleName	island	type	group
FAN.AC1A	Fanning	Coral	Acropora
FAN.AC1C	Fanning	Interface	AC
FAN.AC1E	Fanning	Algae	CCA
FAN.AC2A	Fanning	Coral	Acropora
FAN.AC2C	Fanning	Interface	AC
FAN.AC2E	Fanning	Algae	CCA
FAN.AC3A	Fanning	Coral	Acropora
FAN.AC3C	Fanning	Interface	AC
FAN.AC3E	Fanning	Algae	CCA
FAN.AC4C	Fanning	Interface	AC
FAN.AC4E	Fanning	Algae	CCA
FAN.AT1A	Fanning	Coral	Acropora
FAN.AT1C	Fanning	Interface	AT
FAN.AT1E	Fanning	Algae	Turf
FAN.AT2A	Fanning	Coral	Acropora
FAN.AT2C	Fanning	Interface	AT
FAN.AT2E	Fanning	Algae	Turf
FAN.AT3A	Fanning	Coral	Acropora
FAN.AT3C	Fanning	Interface	AT
FAN.AT3E	Fanning	Algae	Turf
FAN.AT4A	Fanning	Coral	Acropora
FAN.AT4C	Fanning	Interface	AT
FAN.AT4E	Fanning	Algae	Turf
FAN.PC1A	Fanning	Coral	Porites
FAN.PC1E	Fanning	Algae	CCA
FAN.PC2A	Fanning	Coral	Porites
FAN.PC2C	Fanning	Interface	PC
FAN.PC2E	Fanning	Algae	CCA
FAN.PC3A	Fanning	Coral	Porites
FAN.PC3C	Fanning	Interface	PC
FAN.PC3E	Fanning	Algae	CCA
FAN.PC4A	Fanning	Coral	Porites
FAN.PC4C	Fanning	Interface	PC
FAN.PC4E	Fanning	Algae	CCA
FAN.PT1A	Fanning	Coral	Porites
FAN.PT1C	Fanning	Interface	PT
FAN.PT1E	Fanning	Algae	Turf
FAN.PT2A	Fanning	Coral	Porites
FAN.PT2C	Fanning	Interface	PT
FAN.PT2E	Fanning	Algae	Turf
FAN.PT3A	Fanning	Coral	Porites
FAN.PT3C	Fanning	Interface	PT
FAN.PT3E	Fanning	Algae	Turf
FAN.PT4A	Fanning	Coral	Porites
FAN.PT4C	Fanning	Interface	PT
FAN.PT4E	Fanning	Algae	Turf
JAR.AC1A	Jarvis	Coral	Acropora
JAR.AC1C	Jarvis	Interface	AC
JAR.AC1E	Jarvis	Algae	CCA
JAR.AT1A	Jarvis	Coral	Acropora
JAR.AT1C	Jarvis	Interface	AT
JAR.AT1E	Jarvis	Algae	Turf
JAR.AT2A	Jarvis	Coral	Acropora
JAR.AT2C	Jarvis	Interface	AT
JAR.AT2E	Jarvis	Algae	Turf
JAR.AT3A	Jarvis	Coral	Acropora
JAR.AT3C	Jarvis	Interface	AT
JAR.AT3E	Jarvis	Algae	Turf
JAR.AT4A	Jarvis	Coral	Acropora
JAR.AT4C	Jarvis	Interface	AT
JAR.AT4E	Jarvis	Algae	Turf
JAR.PC1A	Jarvis	Coral	Porites
JAR.PC1C	Jarvis	Interface	PC
JAR.PC1E	Jarvis	Algae	CCA
JAR.PC2A	Jarvis	Coral	Porites
JAR.PC2C	Jarvis	Interface	PC
JAR.PC2E	Jarvis	Algae	CCA
JAR.PC3A	Jarvis	Coral	Porites
JAR.PC3C	Jarvis	Interface	PC
JAR.PC3E	Jarvis	Algae	CCA
JAR.PC4A	Jarvis	Coral	Porites
JAR.PC4C	Jarvis	Interface	PC
JAR.PC4E	Jarvis	Algae	CCA
JAR.PT1A	Jarvis	Coral	Porites
JAR.PT1C	Jarvis	Interface	PT
JAR.PT1E	Jarvis	Algae	Turf
JAR.PT2C	Jarvis	Interface	PT
JAR.PT2E	Jarvis	Algae	Turf
JAR.PT3E	Jarvis	Algae	Turf
JAR.PT4C	Jarvis	Interface	PT
JAR.PT4E	Jarvis	Algae	Turf
KIN.AC1A	Kingman	Coral	Acropora
KIN.AC1C	Kingman	Interface	AC
KIN.AC1E	Kingman	Algae	CCA
KIN.AC2A	Kingman	Coral	Acropora
KIN.AC2C	Kingman	Interface	AC
KIN.AC2E	Kingman	Algae	CCA
KIN.AC3C	Kingman	Interface	AC
KIN.AC3E	Kingman	Algae	CCA
KIN.AC4C	Kingman	Interface	AC
KIN.AC4E	Kingman	Algae	CCA
KIN.AT1A	Kingman	Coral	Acropora
KIN.AT1C	Kingman	Interface	AT
KIN.AT1E	Kingman	Algae	Turf
KIN.AT2E	Kingman	Algae	Turf
KIN.AT3A	Kingman	Coral	Acropora
KIN.AT3C	Kingman	Interface	AT
KIN.AT3E	Kingman	Algae	Turf
KIN.AT4A	Kingman	Coral	Acropora
KIN.AT4C	Kingman	Interface	AT
KIN.AT4E	Kingman	Algae	Turf
KIN.PC1A	Kingman	Coral	Porites
KIN.PC1C	Kingman	Interface	PC
KIN.PC1E	Kingman	Algae	CCA
KIN.PC2A	Kingman	Coral	Porites
KIN.PC2C	Kingman	Interface	PC
KIN.PC2E	Kingman	Algae	CCA
KIN.PC3A	Kingman	Coral	Porites
KIN.PC3C	Kingman	Interface	PC
KIN.PC3E	Kingman	Algae	CCA
KIN.PC4A	Kingman	Coral	Porites
KIN.PC4C	Kingman	Interface	PC
KIN.PC4E	Kingman	Algae	CCA
KIN.PT1A	Kingman	Coral	Porites
KIN.PT1C	Kingman	Interface	PT
KIN.PT1E	Kingman	Algae	Turf
KIN.PT2A	Kingman	Coral	Porites
KIN.PT2C	Kingman	Interface	PT
KIN.PT2E	Kingman	Algae	Turf
KIN.PT3A	Kingman	Coral	Porites
KIN.PT3C	Kingman	Interface	PT
KIN.PT3E	Kingman	Algae	Turf
KIN.PT4A	Kingman	Coral	Porites
KIN.PT4C	Kingman	Interface	PT
KIN.PT4E	Kingman	Algae	Turf
KIR.PC1A	Kiritimati	Coral	Porites
KIR.PC1C	Kiritimati	Interface	PC
KIR.PC1E	Kiritimati	Algae	CCA
KIR.PC3C	Kiritimati	Interface	PC
KIR.PC3E	Kiritimati	Algae	CCA
KIR.PT1C	Kiritimati	Interface	PT
KIR.PT1E	Kiritimati	Algae	Turf
KIR.PT2E	Kiritimati	Algae	Turf
KIR.PT3C	Kiritimati	Interface	PT
KIR.PT3E	Kiritimati	Algae	Turf
KIR.PT4E	Kiritimati	Algae	Turf
PAL.AC1C	Palmyra	Interface	AC
PAL.AC1E	Palmyra	Algae	CCA
PAL.AC2A	Palmyra	Coral	Acropora
PAL.AC2C	Palmyra	Interface	AC
PAL.AC2E	Palmyra	Algae	CCA
PAL.AC3A	Palmyra	Coral	Acropora
